roll_no,gender,race_ethnicity,total_score,grade,academic_strength,lunch,test_preparation_course
std-3253,male,group B,263.0,B,65.75,1.0,1.0
std-3255,male,group C,327.0,A,81.75,0.0,1.0
std-3256,male,group A,291.0,B,72.75,0.0,1.0
std-3257,male,group C,255.0,B,63.75,1.0,1.0
std-3260,male,group C,278.0,B,69.5,0.0,0.0
std-3261,male,group C,278.0,B,69.5,0.0,0.0
std-3264,male,group B,312.0,B,78.0,0.0,0.0
std-3265,male,group B,261.0,B,65.25,1.0,0.0
std-3267,male,group E,285.0,B,71.25,0.0,0.0
std-3268,male,group B,273.0,B,68.25,1.0,0.0
std-3269,male,group D,254.0,B,63.5,0.0,0.0
std-3272,male,group C,343.0,A,85.75,1.0,0.0
std-3273,male,group B,267.0,B,66.75,1.0,0.0
std-3275,male,group C,273.0,B,68.25,1.0,1.0
std-3277,male,group E,254.0,B,63.5,1.0,1.0
std-3278,male,group E,269.0,B,67.25,0.0,1.0
std-3279,male,group D,262.0,B,65.5,0.0,1.0
std-3280,male,group C,286.0,B,71.5,0.0,1.0
std-3281,male,group E,281.0,B,70.25,0.0,1.0
std-3282,male,group D,315.0,B,78.75,1.0,1.0
std-3284,male,group D,324.0,A,81.0,1.0,1.0
std-3289,male,group E,313.0,B,78.25,1.0,1.0
std-3290,male,group C,277.0,B,69.25,1.0,0.0
std-3291,male,group A,275.0,B,68.75,1.0,1.0
std-3292,male,group C,309.0,B,77.25,0.0,0.0
std-3294,male,group D,272.0,B,68.0,1.0,0.0
std-3295,male,group D,258.0,B,64.5,0.0,0.0
std-3298,male,group D,251.0,B,62.75,0.0,1.0
std-3301,male,group E,271.0,B,67.75,1.0,0.0
std-3302,male,group D,306.0,B,76.5,0.0,0.0
std-3303,male,group A,250.0,B,62.5,0.0,0.0
std-3304,male,group D,360.0,A,90.0,0.0,1.0
std-3306,male,group C,290.0,B,72.5,1.0,0.0
std-3307,male,group D,263.0,B,65.75,1.0,0.0
std-3308,male,group D,260.0,B,65.0,1.0,1.0
std-3313,male,group C,309.0,B,77.25,0.0,1.0
std-3317,male,group D,275.0,B,68.75,1.0,0.0
std-3318,male,group C,265.0,B,66.25,1.0,1.0
std-3320,male,group E,291.0,B,72.75,1.0,1.0
std-3322,male,group C,280.0,B,70.0,0.0,1.0
std-3323,male,group E,252.0,B,63.0,1.0,0.0
std-3325,male,group B,263.0,B,65.75,1.0,0.0
std-3326,male,group C,276.0,B,69.0,1.0,0.0
std-3327,male,group C,329.0,A,82.25,1.0,0.0
std-3328,male,group D,294.0,B,73.5,0.0,0.0
std-3329,male,group C,284.0,B,71.0,1.0,0.0
std-3331,male,group B,286.0,B,71.5,0.0,0.0
std-3333,male,group D,335.0,A,83.75,1.0,0.0
std-3334,male,group B,271.0,B,67.75,0.0,1.0
std-3335,male,group C,272.0,B,68.0,1.0,0.0
std-3336,male,group B,303.0,B,75.75,1.0,0.0
std-3337,male,group E,268.0,B,67.0,1.0,1.0
std-3338,male,group B,312.0,B,78.0,0.0,0.0
std-3343,male,group D,278.0,B,69.5,0.0,1.0
std-3344,male,group C,323.0,A,80.75,1.0,1.0
std-3345,male,group D,272.0,B,68.0,0.0,0.0
std-3346,male,group A,313.0,B,78.25,0.0,0.0
std-3351,male,group E,291.0,B,72.75,1.0,0.0
std-3352,male,group D,267.0,B,66.75,0.0,0.0
std-3354,male,group C,252.0,B,63.0,0.0,0.0
std-3357,male,group C,336.0,A,84.0,1.0,0.0
std-3358,male,group C,282.0,B,70.5,1.0,0.0
std-3359,male,group D,301.0,B,75.25,0.0,1.0
std-3360,male,group E,342.0,A,85.5,0.0,0.0
std-3361,male,group C,266.0,B,66.5,1.0,0.0
std-3362,male,group B,274.0,B,68.5,1.0,1.0
std-3363,male,group A,252.0,B,63.0,1.0,1.0
std-3368,male,group A,271.0,B,67.75,0.0,1.0
std-3369,male,group C,308.0,B,77.0,0.0,1.0
std-3370,male,group B,266.0,B,66.5,1.0,1.0
std-3371,male,group D,252.0,B,63.0,1.0,0.0
std-3374,male,group B,297.0,B,74.25,0.0,0.0
std-3379,male,group C,322.0,A,80.5,1.0,1.0
std-3380,male,group B,301.0,B,75.25,1.0,1.0
std-3381,male,group C,270.0,B,67.5,1.0,0.0
std-3382,male,group E,255.0,B,63.75,1.0,0.0
std-3383,male,group E,273.0,B,68.25,0.0,0.0
std-3384,male,group B,266.0,B,66.5,0.0,1.0
std-3385,male,group D,322.0,A,80.5,1.0,0.0
std-3394,male,group C,269.0,B,67.25,1.0,0.0
std-3395,male,group E,251.0,B,62.75,1.0,1.0
std-3397,male,group A,285.0,B,71.25,0.0,1.0
std-3401,male,group D,301.0,B,75.25,1.0,1.0
std-3405,male,group D,254.0,B,63.5,0.0,1.0
std-3413,male,group D,251.0,B,62.75,1.0,0.0
std-3414,male,group E,310.0,B,77.5,1.0,1.0
std-3415,male,group C,253.0,B,63.25,1.0,1.0
std-3416,male,group E,325.0,A,81.25,0.0,0.0
std-3418,male,group A,285.0,B,71.25,1.0,1.0
std-3419,male,group B,272.0,B,68.0,0.0,0.0
std-3422,male,group C,253.0,B,63.25,0.0,1.0
std-3423,male,group D,361.0,A,90.25,1.0,0.0
std-3425,male,group C,281.0,B,70.25,0.0,1.0
std-3427,male,group D,253.0,B,63.25,1.0,1.0
std-3428,male,group D,256.0,B,64.0,0.0,1.0
std-3429,male,group B,326.0,A,81.5,1.0,0.0
std-3430,male,group D,287.0,B,71.75,1.0,0.0
std-3432,male,group C,256.0,B,64.0,1.0,0.0
std-3435,male,group C,322.0,A,80.5,1.0,0.0
std-3436,male,group D,269.0,B,67.25,1.0,0.0
std-3440,male,group C,277.0,B,69.25,1.0,1.0
std-3441,male,group D,315.0,B,78.75,0.0,0.0
std-3443,male,group D,263.0,B,65.75,0.0,0.0
std-3445,male,group C,255.0,B,63.75,1.0,0.0
std-3447,male,group C,319.0,B,79.75,1.0,0.0
std-3450,male,group D,253.0,B,63.25,0.0,1.0
std-3451,male,group C,268.0,B,67.0,0.0,0.0
std-3452,male,group D,290.0,B,72.5,1.0,1.0
std-3453,male,group D,262.0,B,65.5,0.0,1.0
std-3454,male,group D,273.0,B,68.25,0.0,1.0
std-3456,male,group B,253.0,B,63.25,1.0,1.0
std-3458,male,group B,332.0,A,83.0,1.0,1.0
std-3460,male,group D,289.0,B,72.25,1.0,1.0
std-3462,male,group B,261.0,B,65.25,0.0,1.0
std-3463,male,group E,280.0,B,70.0,1.0,0.0
std-3464,male,group D,256.0,B,64.0,0.0,0.0
std-3465,male,group C,292.0,B,73.0,0.0,1.0
std-3466,male,group D,270.0,B,67.5,1.0,0.0
std-3467,male,group C,317.0,B,79.25,1.0,0.0
std-3469,male,group D,261.0,B,65.25,1.0,1.0
std-3470,male,group E,321.0,A,80.25,1.0,0.0
std-3471,male,group D,263.0,B,65.75,0.0,0.0
std-3472,male,group A,288.0,B,72.0,0.0,1.0
std-3479,male,group D,270.0,B,67.5,1.0,1.0
std-3481,male,group E,292.0,B,73.0,1.0,0.0
std-3482,male,group C,256.0,B,64.0,1.0,1.0
std-3483,male,group B,265.0,B,66.25,1.0,0.0
std-3485,male,group C,273.0,B,68.25,0.0,0.0
std-3487,male,group D,272.0,B,68.0,1.0,1.0
std-3488,male,group D,302.0,B,75.5,0.0,0.0
std-3489,male,group D,253.0,B,63.25,0.0,1.0
std-3490,male,group D,342.0,A,85.5,0.0,0.0
std-3492,male,group E,261.0,B,65.25,0.0,0.0
std-3494,male,group D,335.0,A,83.75,1.0,0.0
std-3496,male,group A,284.0,B,71.0,0.0,1.0
std-3501,male,group E,326.0,A,81.5,1.0,1.0
std-3502,male,group E,287.0,B,71.75,1.0,1.0
std-3503,male,group A,254.0,B,63.5,1.0,0.0
std-3504,male,group D,285.0,B,71.25,1.0,0.0
std-3507,male,group C,301.0,B,75.25,1.0,0.0
std-3509,male,group C,284.0,B,71.0,0.0,1.0
std-3510,male,group D,322.0,A,80.5,0.0,1.0
std-3512,male,group D,267.0,B,66.75,0.0,1.0
std-3518,male,group C,269.0,B,67.25,0.0,0.0
std-3519,male,group D,262.0,B,65.5,0.0,1.0
std-3520,male,group A,330.0,A,82.5,0.0,1.0
std-3521,male,group C,251.0,B,62.75,1.0,0.0
std-3523,male,group C,287.0,B,71.75,0.0,0.0
std-3525,male,group D,281.0,B,70.25,1.0,1.0
std-3527,male,group D,321.0,A,80.25,1.0,0.0
std-3529,male,group E,255.0,B,63.75,1.0,0.0
std-3531,male,group B,260.0,B,65.0,1.0,1.0
std-3532,male,group D,300.0,B,75.0,1.0,0.0
std-3533,male,group E,303.0,B,75.75,0.0,1.0
std-3534,male,group D,344.0,A,86.0,1.0,1.0
std-3535,male,group B,294.0,B,73.5,0.0,0.0
std-3536,male,group B,257.0,B,64.25,1.0,0.0
std-3537,male,group C,285.0,B,71.25,1.0,1.0
std-3539,male,group A,283.0,B,70.75,0.0,0.0
std-3540,male,group D,280.0,B,70.0,1.0,1.0
std-3541,male,group D,286.0,B,71.5,0.0,0.0
std-3543,male,group E,290.0,B,72.5,0.0,0.0
std-3546,male,group B,268.0,B,67.0,0.0,0.0
std-3547,male,group C,347.0,A,86.75,0.0,0.0
std-3550,male,group B,298.0,B,74.5,0.0,0.0
std-3551,male,group D,252.0,B,63.0,1.0,0.0
std-3552,male,group B,309.0,B,77.25,1.0,0.0
std-3553,male,group A,263.0,B,65.75,1.0,1.0
std-3554,male,group B,304.0,B,76.0,0.0,0.0
std-3555,male,group A,302.0,B,75.5,1.0,1.0
std-3557,male,group C,297.0,B,74.25,1.0,0.0
std-3558,male,group D,336.0,A,84.0,1.0,0.0
std-3559,male,group D,331.0,A,82.75,1.0,0.0
std-3562,male,group E,260.0,B,65.0,0.0,1.0
std-3563,male,group B,253.0,B,63.25,1.0,1.0
std-3564,male,group C,351.0,A,87.75,0.0,0.0
std-3565,male,group C,289.0,B,72.25,0.0,1.0
std-3567,male,group B,285.0,B,71.25,1.0,0.0
std-3570,male,group D,273.0,B,68.25,1.0,0.0
std-3572,male,group D,343.0,A,85.75,0.0,0.0
std-3575,male,group D,297.0,B,74.25,0.0,1.0
std-3578,male,group A,320.0,A,80.0,1.0,1.0
std-3579,male,group B,324.0,A,81.0,1.0,0.0
std-3580,male,group A,300.0,B,75.0,1.0,0.0
std-3587,male,group C,343.0,A,85.75,1.0,1.0
std-3589,male,group A,263.0,B,65.75,0.0,0.0
std-3592,male,group D,297.0,B,74.25,0.0,0.0
std-3593,male,group E,269.0,B,67.25,1.0,1.0
std-3594,male,group C,281.0,B,70.25,0.0,0.0
std-3596,male,group B,271.0,B,67.75,1.0,0.0
std-3597,male,group D,299.0,B,74.75,1.0,1.0
std-3600,male,group D,296.0,B,74.0,1.0,1.0
std-3601,male,group D,288.0,B,72.0,1.0,1.0
std-3602,male,group D,300.0,B,75.0,0.0,0.0
std-3604,male,group E,306.0,B,76.5,1.0,1.0
std-3605,male,group B,254.0,B,63.5,0.0,0.0
std-3607,male,group E,285.0,B,71.25,1.0,1.0
std-3609,male,group B,281.0,B,70.25,1.0,0.0
std-3613,male,group D,253.0,B,63.25,1.0,0.0
std-3614,male,group E,291.0,B,72.75,0.0,1.0
std-3615,male,group D,265.0,B,66.25,1.0,0.0
std-3617,male,group B,305.0,B,76.25,1.0,1.0
std-3622,male,group D,263.0,B,65.75,0.0,0.0
std-3626,male,group B,279.0,B,69.75,1.0,0.0
std-3628,male,group D,254.0,B,63.5,1.0,0.0
std-3631,male,group C,304.0,B,76.0,1.0,0.0
std-3633,male,group C,274.0,B,68.5,1.0,0.0
std-3636,male,group E,270.0,B,67.5,0.0,0.0
std-3637,male,group E,307.0,B,76.75,1.0,0.0
std-3638,male,group C,297.0,B,74.25,1.0,0.0
std-3641,male,group D,341.0,A,85.25,1.0,1.0
std-3642,male,group C,280.0,B,70.0,1.0,0.0
std-3643,male,group C,295.0,B,73.75,0.0,0.0
std-3644,male,group D,287.0,B,71.75,0.0,1.0
std-3646,male,group D,274.0,B,68.5,1.0,1.0
std-3647,male,group B,283.0,B,70.75,1.0,0.0
std-3648,male,group D,290.0,B,72.5,0.0,0.0
std-3649,male,group E,331.0,A,82.75,0.0,1.0
std-3651,male,group B,285.0,B,71.25,0.0,0.0
std-3653,male,group B,266.0,B,66.5,1.0,0.0
std-3655,male,group B,279.0,B,69.75,1.0,1.0
std-3659,male,group B,270.0,B,67.5,1.0,0.0
std-3660,male,group C,287.0,B,71.75,1.0,0.0
std-3661,male,group B,261.0,B,65.25,0.0,1.0
std-3663,male,group E,282.0,B,70.5,1.0,0.0
std-3664,male,group E,266.0,B,66.5,0.0,0.0
std-3665,male,group E,273.0,B,68.25,1.0,1.0
std-3667,male,group A,301.0,B,75.25,1.0,1.0
std-3668,male,group E,283.0,B,70.75,1.0,0.0
std-3670,male,group C,281.0,B,70.25,1.0,0.0
std-3672,male,group E,265.0,B,66.25,0.0,0.0
std-3673,male,group A,328.0,A,82.0,1.0,0.0
std-3675,male,group D,257.0,B,64.25,1.0,0.0
std-3677,male,group E,264.0,B,66.0,1.0,0.0
std-3679,male,group C,272.0,B,68.0,1.0,0.0
std-3682,male,group C,281.0,B,70.25,1.0,0.0
std-3684,male,group A,288.0,B,72.0,1.0,0.0
std-3689,male,group D,320.0,A,80.0,1.0,1.0
std-3690,male,group A,257.0,B,64.25,1.0,1.0
std-3691,male,group B,254.0,B,63.5,1.0,0.0
std-3693,male,group D,258.0,B,64.5,1.0,0.0
std-3696,male,group D,309.0,B,77.25,1.0,1.0
std-3697,male,group B,320.0,A,80.0,1.0,1.0
std-3698,male,group A,252.0,B,63.0,1.0,0.0
std-3699,male,group E,294.0,B,73.5,0.0,1.0
std-3700,male,group A,265.0,B,66.25,0.0,0.0
std-3708,male,group B,273.0,B,68.25,1.0,1.0
std-3709,male,group B,274.0,B,68.5,0.0,0.0
std-3710,male,group C,340.0,A,85.0,0.0,1.0
std-3711,male,group D,264.0,B,66.0,1.0,0.0
std-3712,male,group E,291.0,B,72.75,1.0,1.0
std-3714,male,group B,293.0,B,73.25,0.0,0.0
std-3715,male,group B,284.0,B,71.0,1.0,0.0
std-3716,male,group B,316.0,B,79.0,1.0,1.0
std-3717,male,group B,288.0,B,72.0,0.0,0.0
std-3719,male,group D,348.0,A,87.0,1.0,0.0
std-3721,male,group D,293.0,B,73.25,0.0,0.0
std-3723,male,group E,257.0,B,64.25,1.0,0.0
std-3726,male,group C,292.0,B,73.0,1.0,1.0
std-3727,male,group B,268.0,B,67.0,1.0,0.0
std-3728,male,group B,269.0,B,67.25,0.0,0.0
std-3729,male,group E,315.0,B,78.75,0.0,0.0
std-3730,male,group A,300.0,B,75.0,0.0,1.0
std-3732,male,group D,322.0,A,80.5,1.0,0.0
std-3733,male,group C,301.0,B,75.25,0.0,1.0
std-3737,male,group D,336.0,A,84.0,0.0,0.0
std-3739,male,group B,279.0,B,69.75,1.0,0.0
std-3740,male,group B,255.0,B,63.75,1.0,0.0
std-3741,male,group B,301.0,B,75.25,1.0,0.0
std-3742,male,group B,303.0,B,75.75,1.0,1.0
std-3743,male,group C,341.0,A,85.25,0.0,0.0
std-3744,male,group B,292.0,B,73.0,0.0,1.0
std-3747,male,group D,269.0,B,67.25,0.0,1.0
std-3749,male,group E,280.0,B,70.0,1.0,0.0
std-3750,male,group C,313.0,B,78.25,1.0,0.0
std-3751,male,group C,293.0,B,73.25,0.0,0.0
std-3756,male,group C,257.0,B,64.25,0.0,1.0
std-3757,male,group D,281.0,B,70.25,1.0,1.0
std-3759,male,group B,309.0,B,77.25,1.0,0.0
std-3760,male,group D,279.0,B,69.75,0.0,0.0
std-3762,male,group A,284.0,B,71.0,0.0,1.0
std-3763,male,group B,253.0,B,63.25,1.0,0.0
std-3764,male,group A,291.0,B,72.75,1.0,0.0
std-3767,male,group D,299.0,B,74.75,1.0,0.0
std-3768,male,group B,275.0,B,68.75,1.0,1.0
std-3772,male,group B,285.0,B,71.25,1.0,0.0
std-3775,male,group D,269.0,B,67.25,1.0,1.0
std-3778,male,group E,277.0,B,69.25,1.0,0.0
std-3779,male,group A,332.0,A,83.0,0.0,1.0
std-3780,male,group C,308.0,B,77.0,0.0,1.0
std-3781,male,group E,346.0,A,86.5,1.0,1.0
std-3783,male,group C,266.0,B,66.5,1.0,0.0
std-3789,male,group B,301.0,B,75.25,1.0,0.0
std-3790,male,group B,285.0,B,71.25,1.0,1.0
std-3791,male,group E,294.0,B,73.5,0.0,0.0
std-3794,male,group C,310.0,B,77.5,1.0,0.0
std-3795,male,group B,292.0,B,73.0,1.0,1.0
std-3796,male,group E,300.0,B,75.0,1.0,0.0
std-3798,male,group C,321.0,A,80.25,1.0,0.0
std-3800,male,group C,286.0,B,71.5,0.0,0.0
std-3801,male,group A,277.0,B,69.25,1.0,1.0
std-3802,male,group E,287.0,B,71.75,0.0,0.0
std-3803,male,group D,331.0,A,82.75,0.0,0.0
std-3805,male,group C,257.0,B,64.25,1.0,1.0
std-3806,male,group B,296.0,B,74.0,1.0,0.0
std-3807,male,group D,280.0,B,70.0,1.0,1.0
std-3810,male,group E,263.0,B,65.75,1.0,0.0
std-3811,male,group B,271.0,B,67.75,1.0,0.0
std-3812,male,group B,258.0,B,64.5,1.0,1.0
std-3813,male,group D,303.0,B,75.75,1.0,1.0
std-3814,male,group D,282.0,B,70.5,1.0,1.0
std-3818,male,group D,328.0,A,82.0,1.0,1.0
std-3819,male,group D,305.0,B,76.25,1.0,1.0
std-3823,male,group D,286.0,B,71.5,1.0,1.0
std-3824,male,group B,255.0,B,63.75,1.0,1.0
std-3826,male,group D,338.0,A,84.5,1.0,0.0
std-3827,male,group E,256.0,B,64.0,0.0,0.0
std-3829,male,group D,272.0,B,68.0,1.0,0.0
std-3830,male,group D,255.0,B,63.75,1.0,1.0
std-3833,male,group C,261.0,B,65.25,1.0,0.0
std-3836,male,group B,251.0,B,62.75,1.0,1.0
std-3839,male,group C,265.0,B,66.25,1.0,1.0
std-3843,male,group A,285.0,B,71.25,1.0,0.0
std-3845,male,group B,252.0,B,63.0,1.0,0.0
std-3846,male,group D,289.0,B,72.25,1.0,0.0
std-3848,male,group D,274.0,B,68.5,1.0,0.0
std-3850,male,group E,271.0,B,67.75,0.0,0.0
std-3851,male,group B,304.0,B,76.0,1.0,1.0
std-3852,male,group E,290.0,B,72.5,1.0,1.0
std-3853,male,group D,301.0,B,75.25,1.0,1.0
std-3854,male,group C,254.0,B,63.5,0.0,0.0
std-3855,male,group A,275.0,B,68.75,1.0,0.0
std-3856,male,group A,331.0,A,82.75,1.0,1.0
std-3857,male,group D,301.0,B,75.25,0.0,0.0
std-3861,male,group B,302.0,B,75.5,0.0,0.0
std-3862,male,group C,278.0,B,69.5,1.0,1.0
std-3863,male,group C,277.0,B,69.25,1.0,0.0
std-3864,male,group B,285.0,B,71.25,1.0,0.0
std-3869,male,group D,265.0,B,66.25,0.0,0.0
std-3870,male,group E,283.0,B,70.75,0.0,1.0
std-3871,male,group D,314.0,B,78.5,0.0,0.0
std-3872,male,group D,266.0,B,66.5,0.0,0.0
std-3874,male,group C,298.0,B,74.5,1.0,1.0
std-3875,male,group D,266.0,B,66.5,1.0,0.0
std-3882,male,group B,303.0,B,75.75,0.0,0.0
std-3884,male,group C,282.0,B,70.5,1.0,0.0
std-3885,male,group A,303.0,B,75.75,1.0,0.0
std-3886,male,group A,271.0,B,67.75,1.0,0.0
std-3888,male,group C,280.0,B,70.0,1.0,0.0
std-3890,male,group D,301.0,B,75.25,1.0,0.0
std-3891,male,group B,254.0,B,63.5,0.0,0.0
std-3893,male,group C,253.0,B,63.25,1.0,1.0
std-3894,male,group D,264.0,B,66.0,0.0,0.0
std-3896,male,group B,310.0,B,77.5,0.0,1.0
std-3898,male,group B,342.0,A,85.5,0.0,0.0
std-3900,male,group C,275.0,B,68.75,0.0,1.0
std-3902,male,group D,296.0,B,74.0,0.0,1.0
std-3903,male,group E,260.0,B,65.0,1.0,0.0
std-3905,male,group E,312.0,B,78.0,0.0,0.0
std-3907,male,group B,269.0,B,67.25,1.0,0.0
std-3908,male,group A,291.0,B,72.75,1.0,0.0
std-3910,male,group C,251.0,B,62.75,0.0,0.0
std-3911,male,group E,261.0,B,65.25,0.0,1.0
std-3912,male,group D,288.0,B,72.0,1.0,0.0
std-3914,male,group A,337.0,A,84.25,1.0,0.0
std-3917,male,group E,288.0,B,72.0,1.0,0.0
std-3919,male,group C,336.0,A,84.0,1.0,1.0
std-3922,male,group E,260.0,B,65.0,1.0,1.0
std-3925,male,group C,280.0,B,70.0,0.0,0.0
std-3926,male,group C,272.0,B,68.0,0.0,0.0
std-3927,male,group B,295.0,B,73.75,1.0,1.0
std-3929,male,group C,294.0,B,73.5,1.0,0.0
std-3931,male,group B,274.0,B,68.5,1.0,0.0
std-3933,male,group C,259.0,B,64.75,1.0,0.0
std-3934,male,group B,286.0,B,71.5,0.0,1.0
std-3935,male,group D,259.0,B,64.75,0.0,0.0
std-3940,male,group B,299.0,B,74.75,1.0,1.0
std-3943,male,group D,305.0,B,76.25,1.0,1.0
std-3944,male,group D,267.0,B,66.75,1.0,1.0
std-3950,male,group B,254.0,B,63.5,1.0,0.0
std-3953,male,group C,298.0,B,74.5,0.0,0.0
std-3956,male,group E,263.0,B,65.75,1.0,1.0
std-3958,male,group C,263.0,B,65.75,1.0,0.0
std-3959,male,group E,279.0,B,69.75,0.0,1.0
std-3961,male,group C,358.0,A,89.5,0.0,1.0
std-3964,male,group D,321.0,A,80.25,1.0,1.0
std-3966,male,group B,275.0,B,68.75,1.0,0.0
std-3970,male,group B,313.0,B,78.25,0.0,0.0
std-3971,male,group B,261.0,B,65.25,0.0,0.0
std-3973,male,group B,275.0,B,68.75,1.0,1.0
std-3974,male,group D,304.0,B,76.0,1.0,0.0
std-3975,male,group E,292.0,B,73.0,0.0,0.0
std-3977,male,group D,273.0,B,68.25,1.0,0.0
std-3978,male,group C,312.0,B,78.0,0.0,1.0
std-3979,male,group B,258.0,B,64.5,0.0,0.0
std-3980,male,group D,319.0,B,79.75,0.0,0.0
std-3986,male,group D,254.0,B,63.5,0.0,0.0
std-3988,male,group D,261.0,B,65.25,1.0,0.0
std-3989,male,group D,270.0,B,67.5,1.0,1.0
std-3990,male,group E,349.0,A,87.25,1.0,0.0
std-3991,male,group D,323.0,A,80.75,0.0,0.0
std-3992,male,group E,281.0,B,70.25,0.0,0.0
std-3993,male,group C,292.0,B,73.0,1.0,1.0
std-3996,male,group E,280.0,B,70.0,0.0,0.0
std-4000,male,group B,286.0,B,71.5,1.0,0.0
std-4001,male,group D,261.0,B,65.25,1.0,0.0
std-4002,male,group C,287.0,B,71.75,0.0,1.0
std-4005,male,group C,250.0,B,62.5,1.0,0.0
std-4009,male,group C,260.0,B,65.0,0.0,1.0
std-4011,male,group C,281.0,B,70.25,1.0,0.0
std-4012,male,group B,278.0,B,69.5,1.0,1.0
std-4013,male,group C,261.0,B,65.25,1.0,1.0
std-4014,male,group B,251.0,B,62.75,1.0,0.0
std-4015,male,group A,317.0,B,79.25,0.0,0.0
std-4018,male,group B,252.0,B,63.0,1.0,0.0
std-4019,male,group E,341.0,A,85.25,0.0,0.0
std-4024,male,group A,332.0,A,83.0,1.0,0.0
std-4027,male,group B,256.0,B,64.0,0.0,0.0
std-4028,male,group C,317.0,B,79.25,1.0,1.0
std-4030,male,group E,294.0,B,73.5,0.0,0.0
std-4031,male,group C,274.0,B,68.5,1.0,1.0
std-4036,male,group D,279.0,B,69.75,0.0,0.0
std-4037,male,group C,279.0,B,69.75,0.0,0.0
std-4038,male,group A,278.0,B,69.5,0.0,0.0
std-4039,male,group C,274.0,B,68.5,0.0,0.0
std-4041,male,group D,252.0,B,63.0,1.0,0.0
std-4045,male,group E,272.0,B,68.0,1.0,0.0
std-4046,male,group E,320.0,A,80.0,1.0,1.0
std-4047,male,group C,302.0,B,75.5,1.0,0.0
std-4048,male,group C,281.0,B,70.25,1.0,0.0
std-4049,male,group D,259.0,B,64.75,1.0,1.0
std-4051,male,group C,267.0,B,66.75,1.0,1.0
std-4054,male,group B,302.0,B,75.5,1.0,1.0
std-4055,male,group B,329.0,A,82.25,0.0,0.0
std-4057,male,group D,276.0,B,69.0,1.0,0.0
std-4058,male,group A,317.0,B,79.25,1.0,0.0
std-4060,male,group B,271.0,B,67.75,0.0,0.0
std-4061,male,group B,256.0,B,64.0,1.0,0.0
std-4062,male,group A,300.0,B,75.0,1.0,0.0
std-4064,male,group C,285.0,B,71.25,1.0,0.0
std-4065,male,group B,298.0,B,74.5,1.0,0.0
std-4066,male,group C,295.0,B,73.75,1.0,1.0
std-4068,male,group E,256.0,B,64.0,0.0,0.0
std-4071,male,group C,295.0,B,73.75,1.0,0.0
std-4072,male,group D,254.0,B,63.5,0.0,0.0
std-4073,male,group C,253.0,B,63.25,0.0,0.0
std-4074,male,group A,276.0,B,69.0,0.0,0.0
std-4075,male,group A,313.0,B,78.25,1.0,0.0
std-4079,male,group C,272.0,B,68.0,0.0,0.0
std-4080,male,group C,301.0,B,75.25,0.0,1.0
std-4082,male,group A,257.0,B,64.25,1.0,0.0
std-4083,male,group C,289.0,B,72.25,1.0,0.0
std-4084,male,group C,339.0,A,84.75,0.0,0.0
std-4085,male,group B,287.0,B,71.75,1.0,1.0
std-4086,male,group B,318.0,B,79.5,0.0,0.0
std-4087,male,group E,341.0,A,85.25,1.0,1.0
std-4088,male,group C,250.0,B,62.5,1.0,0.0
std-4089,male,group D,264.0,B,66.0,1.0,0.0
std-4091,male,group C,263.0,B,65.75,0.0,0.0
std-4093,male,group D,290.0,B,72.5,0.0,1.0
std-4095,male,group C,273.0,B,68.25,0.0,0.0
std-4096,male,group D,259.0,B,64.75,0.0,1.0
std-4100,male,group E,256.0,B,64.0,1.0,1.0
std-4101,male,group A,305.0,B,76.25,1.0,1.0
std-4102,male,group B,308.0,B,77.0,1.0,1.0
std-4103,male,group A,313.0,B,78.25,1.0,1.0
std-4104,male,group A,277.0,B,69.25,1.0,1.0
std-4105,male,group E,299.0,B,74.75,1.0,1.0
std-4106,male,group C,251.0,B,62.75,1.0,0.0
std-4107,male,group B,272.0,B,68.0,0.0,0.0
std-4108,male,group C,304.0,B,76.0,0.0,0.0
std-4109,male,group D,325.0,A,81.25,1.0,1.0
std-4112,male,group A,289.0,B,72.25,1.0,0.0
std-4114,male,group B,270.0,B,67.5,1.0,0.0
std-4117,male,group D,270.0,B,67.5,0.0,1.0
std-4120,male,group B,319.0,B,79.75,1.0,0.0
std-4121,male,group E,263.0,B,65.75,1.0,1.0
std-4122,male,group C,288.0,B,72.0,0.0,0.0
std-4123,male,group C,265.0,B,66.25,1.0,1.0
std-4127,male,group C,280.0,B,70.0,1.0,0.0
std-4131,male,group B,322.0,A,80.5,1.0,0.0
std-4132,male,group B,274.0,B,68.5,1.0,1.0
std-4134,male,group C,289.0,B,72.25,1.0,0.0
std-4135,male,group D,263.0,B,65.75,1.0,0.0
std-4136,male,group E,272.0,B,68.0,0.0,1.0
std-4137,male,group B,254.0,B,63.5,0.0,1.0
std-4140,male,group C,257.0,B,64.25,0.0,0.0
std-4143,male,group B,323.0,A,80.75,0.0,0.0
std-4146,male,group C,301.0,B,75.25,0.0,0.0
std-4149,male,group C,290.0,B,72.5,1.0,1.0
std-4150,male,group C,304.0,B,76.0,1.0,1.0
std-4152,male,group C,281.0,B,70.25,1.0,0.0
std-4154,male,group C,266.0,B,66.5,0.0,1.0
std-4155,male,group D,312.0,B,78.0,1.0,0.0
std-4158,male,group B,323.0,A,80.75,1.0,0.0
std-4162,male,group B,267.0,B,66.75,1.0,0.0
std-4165,male,group D,250.0,B,62.5,0.0,1.0
std-4166,male,group C,285.0,B,71.25,1.0,0.0
