roll_no,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,science_score,total_score,grade,academic_strength,is_at_risk,performance_balance,socioeconomic_proxy,parental_education_level,gender_binary,high_achiever,science_strong,is_outlier
std-419,male,group E,associate's degree,1.0,1.0,37.0,95.0,72.0,57.0,261.0,B,65.25,0,24.472773987978286,1.0,4.0,0,1,0,False
std-420,male,group C,some college,1.0,0.0,98.0,60.0,96.0,50.0,304.0,B,76.0,0,24.60352278299458,0.5,3.0,0,1,0,False
std-421,male,group B,associate's degree,0.0,0.0,25.0,84.0,60.0,50.0,219.0,C,54.75,0,24.43187808308372,0.0,4.0,0,0,0,False
std-422,male,group B,high school,0.0,1.0,53.0,59.0,30.0,48.0,190.0,D,47.5,1,12.503332889007368,0.5,2.0,0,0,1,False
std-423,male,group C,some high school,0.0,1.0,77.0,39.0,67.0,57.0,240.0,C,60.0,0,16.206994374857626,0.5,1.0,0,0,0,False
std-424,male,group C,master's degree,1.0,1.0,12.0,70.0,73.0,59.0,214.0,C,53.5,0,28.313718700775894,1.0,6.0,0,0,1,False
std-425,male,group D,associate's degree,0.0,1.0,57.0,67.0,47.0,95.0,266.0,B,66.5,0,20.6801031589948,0.5,4.0,0,1,1,False
std-426,male,group C,associate's degree,1.0,0.0,46.0,61.0,76.0,86.0,269.0,B,67.25,0,17.5,0.5,4.0,0,1,1,False
std-427,male,group E,some high school,1.0,0.0,30.0,76.0,70.0,47.0,223.0,C,55.75,0,21.234798484249072,0.5,1.0,0,0,0,False
std-428,male,group D,some high school,1.0,0.0,45.0,65.0,55.0,81.0,246.0,C,61.5,0,15.351438586225939,0.5,1.0,0,0,1,False
std-429,male,group C,high school,0.0,1.0,77.0,93.0,85.0,81.0,336.0,A,84.0,0,6.831300510639732,0.5,2.0,0,1,0,False
std-430,male,group B,some college,0.0,0.0,17.0,48.0,73.0,57.0,195.0,D,48.75,1,23.556669260883776,0.0,3.0,0,0,1,False
std-431,male,group A,master's degree,0.0,1.0,35.0,74.0,100.0,94.0,303.0,B,75.75,0,29.35273979262129,0.5,6.0,0,1,1,False
std-432,male,group A,some college,0.0,1.0,91.0,98.0,66.0,100.0,355.0,A,88.75,0,15.649813630413195,0.5,3.0,0,1,1,False
std-433,male,group C,high school,1.0,0.0,65.0,47.0,34.0,100.0,246.0,C,61.5,0,28.641461787648574,0.5,2.0,0,0,1,False
std-434,male,group B,some college,0.0,0.0,74.0,98.0,88.0,83.0,343.0,A,85.75,0,10.012492197250394,0.0,3.0,0,1,0,False
std-435,male,group A,high school,1.0,0.0,39.0,96.0,59.0,53.0,247.0,C,61.75,0,24.32248616678265,0.5,2.0,0,0,0,False
std-436,male,group A,master's degree,1.0,0.0,34.0,48.0,52.0,80.0,214.0,C,53.5,0,19.27865832122834,0.5,6.0,0,0,1,False
std-437,male,group C,some college,0.0,1.0,54.0,58.0,78.0,100.0,290.0,B,72.5,0,21.1266025033211,0.5,3.0,0,1,1,False
std-438,male,group D,master's degree,1.0,0.0,67.0,54.0,81.0,64.0,266.0,B,66.5,0,11.150485789118488,0.5,6.0,0,1,0,False
std-439,male,group B,high school,0.0,0.0,72.0,100.0,98.0,82.0,352.0,A,88.0,0,13.366625103842281,0.0,2.0,0,1,0,False
std-440,male,group D,associate's degree,0.0,0.0,72.0,90.0,53.0,94.0,309.0,B,77.25,0,18.786076404259266,0.0,4.0,0,1,1,False
std-441,male,group D,high school,1.0,1.0,54.0,86.0,28.0,88.0,256.0,B,64.0,0,28.61235164516658,1.0,2.0,0,1,1,False
std-442,male,group E,associate's degree,1.0,0.0,34.0,53.0,54.0,57.0,198.0,D,49.5,1,10.472185381603339,0.5,4.0,0,0,1,False
std-443,male,group E,some college,0.0,0.0,50.0,56.0,70.0,72.0,248.0,C,62.0,0,10.708252269472673,0.0,3.0,0,0,1,False
std-444,male,group C,high school,0.0,0.0,53.0,73.0,82.0,65.0,273.0,B,68.25,0,12.311918344975057,0.0,2.0,0,1,0,False
std-445,male,group B,associate's degree,0.0,0.0,71.0,44.0,64.0,54.0,233.0,C,58.25,0,11.786291472158096,0.0,4.0,0,0,0,False
std-446,male,group B,associate's degree,1.0,0.0,48.0,92.0,73.0,54.0,267.0,B,66.75,0,19.922767545365446,0.5,4.0,0,1,0,False
std-447,male,group C,master's degree,1.0,1.0,60.0,95.0,59.0,75.0,289.0,B,72.25,0,16.839932699786342,1.0,6.0,0,1,1,False
std-448,male,group C,some high school,0.0,1.0,36.0,64.0,64.0,55.0,219.0,C,54.75,0,13.200378782444085,0.5,1.0,0,0,1,False
std-449,male,group B,some college,0.0,0.0,97.0,64.0,58.0,34.0,253.0,B,63.25,0,25.96632434519757,0.0,3.0,0,1,0,False
std-450,male,group C,some college,1.0,1.0,49.0,98.0,84.0,92.0,323.0,A,80.75,0,21.929812280698314,1.0,3.0,0,1,1,False
std-451,male,group B,bachelor's degree,1.0,1.0,78.0,81.0,51.0,40.0,250.0,B,62.5,0,20.174241001832016,1.0,5.0,0,1,0,False
std-452,male,group D,associate's degree,1.0,0.0,21.0,64.0,53.0,55.0,193.0,D,48.25,1,18.786076404259266,0.5,4.0,0,0,1,False
std-453,male,group B,some college,1.0,0.0,96.0,84.0,82.0,100.0,362.0,A,90.5,0,8.850612031567836,0.5,3.0,0,1,1,False
std-454,male,group D,associate's degree,1.0,1.0,77.0,60.0,29.0,54.0,220.0,C,55.0,0,19.882991056008986,1.0,4.0,0,0,0,False
std-455,male,group C,high school,1.0,1.0,43.0,100.0,82.0,80.0,305.0,B,76.25,0,23.921747427811372,1.0,2.0,0,1,1,False
std-456,male,group C,some high school,1.0,0.0,38.0,100.0,65.0,87.0,290.0,B,72.5,0,27.160019636713567,0.5,1.0,0,1,1,False
std-457,male,group E,bachelor's degree,1.0,0.0,53.0,76.0,72.0,42.0,243.0,C,60.75,0,16.028620235898867,0.5,5.0,0,0,0,False
std-458,male,group C,some college,0.0,1.0,53.0,100.0,65.0,53.0,271.0,B,67.75,0,22.23173407541571,0.5,3.0,0,1,0,False
std-459,male,group D,associate's degree,1.0,1.0,51.0,65.0,64.0,93.0,273.0,B,68.25,0,17.68945071692919,1.0,4.0,0,1,1,False
std-460,male,group C,some high school,1.0,1.0,70.0,52.0,45.0,69.0,236.0,C,59.0,0,12.463279397226612,1.0,1.0,0,0,1,False
std-461,male,group C,high school,0.0,0.0,85.0,72.0,62.0,48.0,267.0,B,66.75,0,15.649813630413195,0.0,2.0,0,1,0,False
std-462,male,group D,some high school,1.0,0.0,51.0,48.0,55.0,61.0,215.0,C,53.75,0,5.619905100029122,0.5,1.0,0,0,1,False
std-463,male,group B,some college,1.0,1.0,56.0,93.0,69.0,77.0,295.0,B,73.75,0,15.478479684172259,1.0,3.0,0,1,1,False
std-464,male,group C,bachelor's degree,1.0,1.0,75.0,100.0,83.0,38.0,296.0,B,74.0,0,26.166135875720485,1.0,5.0,0,1,0,False
std-465,male,group B,some college,0.0,1.0,94.0,44.0,68.0,69.0,275.0,B,68.75,0,20.41853732926692,0.5,3.0,0,1,1,False
std-466,male,group D,associate's degree,1.0,0.0,14.0,95.0,50.0,41.0,200.0,C,50.0,0,33.67491648096547,0.5,4.0,0,0,0,False
std-467,male,group D,bachelor's degree,0.0,0.0,80.0,67.0,91.0,70.0,308.0,B,77.0,0,10.862780491200215,0.0,5.0,0,1,0,False
std-468,male,group D,associate's degree,1.0,1.0,16.0,77.0,89.0,79.0,261.0,B,65.25,0,33.25031328173215,1.0,4.0,0,1,1,False
std-469,male,group C,high school,0.0,0.0,32.0,82.0,53.0,74.0,241.0,C,60.25,0,22.45551157288562,0.0,2.0,0,0,1,False
std-470,male,group D,master's degree,0.0,0.0,84.0,55.0,69.0,80.0,288.0,B,72.0,0,12.987173159185437,0.0,6.0,0,1,1,False
std-471,male,group B,associate's degree,1.0,1.0,89.0,62.0,61.0,26.0,238.0,C,59.5,0,25.826343140289914,1.0,4.0,0,0,0,False
std-472,male,group B,associate's degree,0.0,0.0,44.0,59.0,77.0,65.0,245.0,C,61.25,0,13.720422734012244,0.0,4.0,0,0,1,False
std-473,male,group D,master's degree,0.0,0.0,57.0,96.0,52.0,61.0,266.0,B,66.5,0,20.008331597945226,0.0,6.0,0,1,0,False
std-474,male,group E,associate's degree,0.0,0.0,86.0,77.0,33.0,33.0,229.0,C,57.25,0,28.241517900660604,0.0,4.0,0,0,0,False
std-475,male,group C,associate's degree,0.0,1.0,38.0,89.0,64.0,50.0,241.0,C,60.25,0,21.914607000811127,0.5,4.0,0,0,0,False
std-476,male,group C,bachelor's degree,0.0,1.0,89.0,46.0,50.0,89.0,274.0,B,68.5,0,23.727621035409346,0.5,5.0,0,1,1,False
std-477,male,group D,associate's degree,1.0,1.0,46.0,52.0,76.0,73.0,247.0,C,61.75,0,14.974979131871937,1.0,4.0,0,0,1,False
std-478,male,group D,master's degree,0.0,0.0,30.0,89.0,52.0,18.0,189.0,D,47.25,1,31.191612120354836,0.0,6.0,0,0,0,False
std-479,male,group D,some college,0.0,0.0,30.0,75.0,78.0,59.0,242.0,C,60.5,0,21.97726097583591,0.0,3.0,0,0,0,False
std-480,male,group D,some high school,0.0,0.0,32.0,43.0,38.0,57.0,170.0,D,42.5,1,10.661457061146317,0.0,1.0,0,0,1,False
std-481,male,group B,some college,1.0,0.0,63.0,76.0,44.0,47.0,230.0,C,57.5,0,14.888474289418197,0.5,3.0,0,0,0,False
std-482,male,group B,high school,0.0,1.0,95.0,60.0,80.0,81.0,316.0,B,79.0,0,14.39907404430345,0.5,2.0,0,1,1,False
std-483,male,group D,some college,0.0,1.0,17.0,97.0,90.0,68.0,272.0,B,68.0,0,36.175498153676706,0.5,3.0,0,1,0,False
std-484,male,group C,bachelor's degree,0.0,0.0,46.0,75.0,37.0,71.0,229.0,C,57.25,0,18.625699092025155,0.0,5.0,0,0,1,False
std-485,male,group B,bachelor's degree,1.0,0.0,33.0,55.0,30.0,76.0,194.0,D,48.5,1,21.455380055672126,0.5,5.0,0,0,1,False
std-486,male,group B,some college,1.0,1.0,87.0,96.0,100.0,63.0,346.0,A,86.5,0,16.583123951777,1.0,3.0,0,1,0,False
std-487,male,group D,some college,0.0,1.0,91.0,98.0,84.0,46.0,319.0,B,79.75,0,23.214578752729214,0.5,3.0,0,1,0,False
std-488,male,group D,some high school,0.0,0.0,40.0,53.0,75.0,86.0,254.0,B,63.5,0,20.8246648632497,0.0,1.0,0,1,1,False
std-489,male,group E,some college,1.0,0.0,49.0,59.0,79.0,34.0,221.0,C,55.25,0,18.874586088176873,0.5,3.0,0,0,0,False
std-490,male,group D,high school,1.0,0.0,23.0,51.0,69.0,59.0,202.0,C,50.5,0,19.75685535031659,0.5,2.0,0,0,1,False
std-491,male,group D,bachelor's degree,1.0,0.0,41.0,76.0,95.0,97.0,309.0,B,77.25,0,25.95348403072954,0.5,5.0,0,1,1,False
std-492,male,group D,high school,1.0,0.0,29.0,71.0,71.0,55.0,226.0,C,56.5,0,19.82422760159901,0.5,2.0,0,0,0,False
std-493,male,group B,associate's degree,1.0,1.0,32.0,25.0,69.0,39.0,165.0,D,41.25,1,19.36276495407272,1.0,4.0,0,0,0,False
std-494,male,group C,some high school,0.0,1.0,100.0,57.0,54.0,94.0,305.0,B,76.25,0,24.116038922951947,0.5,1.0,0,1,1,False
std-495,male,group C,some high school,0.0,0.0,46.0,45.0,85.0,56.0,232.0,C,58.0,0,18.672618098881223,0.0,1.0,0,0,0,False
std-496,male,group D,some college,0.0,0.0,18.0,70.0,44.0,83.0,215.0,C,53.75,0,28.825625173908485,0.0,3.0,0,0,1,False
std-497,male,group D,associate's degree,1.0,1.0,58.0,66.0,56.0,90.0,270.0,B,67.5,0,15.609825965290794,1.0,4.0,0,1,1,False
std-498,male,group C,high school,1.0,0.0,96.0,52.0,52.0,80.0,280.0,B,70.0,0,21.786846184490923,0.5,2.0,0,1,1,False
std-499,male,group A,some high school,0.0,1.0,34.0,86.0,66.0,91.0,277.0,B,69.25,0,25.863423336183992,0.5,1.0,0,1,1,False
std-500,male,group C,associate's degree,0.0,0.0,77.0,95.0,61.0,55.0,288.0,B,72.0,0,17.925772879665004,0.0,4.0,0,1,0,False
std-501,male,group C,some high school,0.0,0.0,32.0,54.0,75.0,35.0,196.0,D,49.0,1,19.882991056008986,0.0,1.0,0,0,0,False
std-502,male,group C,some high school,1.0,0.0,61.0,72.0,100.0,83.0,316.0,B,79.0,0,16.6332999331662,0.5,1.0,0,1,1,False
std-503,male,group C,some high school,1.0,1.0,85.0,100.0,62.0,96.0,343.0,A,85.75,0,17.05627939108253,1.0,1.0,0,1,1,False
std-504,male,group D,associate's degree,0.0,1.0,15.0,53.0,57.0,63.0,188.0,D,47.0,1,21.72556098240043,0.5,4.0,0,0,1,False
std-505,male,group A,some college,0.0,0.0,47.0,70.0,71.0,45.0,233.0,C,58.25,0,14.174507634012077,0.0,3.0,0,0,0,False
std-506,male,group C,bachelor's degree,0.0,0.0,76.0,86.0,84.0,80.0,326.0,A,81.5,0,4.43471156521669,0.0,5.0,0,1,0,False
std-507,male,group D,some high school,0.0,0.0,37.0,82.0,65.0,96.0,280.0,B,70.0,0,25.39028685672272,0.0,1.0,0,1,1,False
std-508,male,group B,high school,1.0,0.0,60.0,85.0,72.0,58.0,275.0,B,68.75,0,12.473304828045105,0.5,2.0,0,1,0,False
std-509,male,group C,high school,1.0,1.0,75.0,91.0,86.0,65.0,317.0,B,79.25,0,11.615363389350618,1.0,2.0,0,1,0,False
std-510,male,group C,some high school,1.0,0.0,50.0,44.0,23.0,80.0,197.0,D,49.25,1,23.542514733987108,0.5,1.0,0,0,1,False
std-511,male,group C,associate's degree,0.0,0.0,73.0,46.0,54.0,54.0,227.0,C,56.75,0,11.470977871713176,0.0,4.0,0,0,0,False
std-512,male,group B,high school,0.0,1.0,39.0,34.0,72.0,44.0,189.0,D,47.25,1,16.99754884289693,0.5,2.0,0,0,0,False
std-513,male,group C,some college,1.0,1.0,90.0,53.0,44.0,100.0,287.0,B,71.75,0,27.402858731648173,1.0,3.0,0,1,1,False
std-514,male,group C,associate's degree,0.0,0.0,20.0,58.0,71.0,93.0,242.0,C,60.5,0,30.62134331910778,0.0,4.0,0,0,1,False
std-515,male,group A,bachelor's degree,1.0,0.0,22.0,86.0,87.0,68.0,263.0,B,65.75,0,30.445306151633073,0.5,5.0,0,1,1,False
std-516,male,group C,associate's degree,1.0,1.0,44.0,94.0,75.0,100.0,313.0,B,78.25,0,25.1975527912269,1.0,4.0,0,1,1,False
std-517,male,group C,some college,0.0,0.0,61.0,63.0,98.0,53.0,275.0,B,68.75,0,19.972898304118676,0.0,3.0,0,1,0,False
std-518,male,group C,some college,0.0,0.0,79.0,46.0,42.0,48.0,215.0,C,53.75,0,17.017148213885115,0.0,3.0,0,0,0,False
std-519,male,group D,some college,1.0,1.0,48.0,95.0,79.0,84.0,306.0,B,76.5,0,20.141168453361058,1.0,3.0,0,1,1,False
std-520,male,group B,some high school,0.0,1.0,23.0,68.0,58.0,48.0,197.0,D,49.25,1,19.311050377094112,0.5,1.0,0,0,0,False
std-521,male,group D,some high school,1.0,0.0,40.0,83.0,62.0,62.0,247.0,C,61.75,0,17.55704986607944,0.5,1.0,0,0,1,False
std-522,male,group C,master's degree,0.0,0.0,63.0,69.0,54.0,80.0,266.0,B,66.5,0,10.908712114635714,0.0,6.0,0,1,1,False
std-523,male,group D,some college,1.0,0.0,39.0,83.0,77.0,75.0,274.0,B,68.5,0,19.95828983989694,0.5,3.0,0,1,1,False
std-524,male,group B,some college,1.0,1.0,72.0,80.0,82.0,81.0,315.0,B,78.75,0,4.573474244670748,1.0,3.0,0,1,1,False
std-525,male,group C,some college,1.0,0.0,83.0,53.0,87.0,60.0,283.0,B,70.75,0,16.78044496827582,0.5,3.0,0,1,0,False
std-526,male,group A,high school,1.0,0.0,38.0,47.0,67.0,51.0,203.0,C,50.75,0,12.120918557051139,0.5,2.0,0,0,1,False
std-527,male,group E,some high school,1.0,0.0,82.0,89.0,100.0,56.0,327.0,A,81.75,0,18.69714773256427,0.5,1.0,0,1,0,False
std-528,male,group B,bachelor's degree,1.0,0.0,73.0,23.0,80.0,69.0,245.0,C,61.25,0,25.90205912020638,0.5,5.0,0,0,1,False
std-529,male,group B,high school,0.0,1.0,67.0,55.0,,,267.0,B,,0,8.48528137423857,0.5,2.0,0,1,0,False
std-530,male,group B,master's degree,0.0,0.0,71.0,,54.0,57.0,259.0,B,,0,9.073771725877465,0.0,6.0,0,1,0,False
std-531,male,group E,some college,1.0,0.0,,54.0,67.0,46.0,212.0,C,,0,10.598742063723098,0.5,3.0,0,0,0,False
std-532,male,group B,associate's degree,0.0,,64.0,71.0,71.0,61.0,267.0,B,66.75,0,5.057996968497839,,4.0,0,1,0,False
std-533,male,group D,bachelor's degree,,0.0,20.0,64.0,42.0,43.0,169.0,D,42.25,1,17.969882210706523,,5.0,0,0,1,False
std-534,male,group C,,1.0,0.0,99.0,77.0,43.0,61.0,280.0,B,70.0,0,23.804761428476166,0.5,,0,1,0,False
std-535,male,,associate's degree,1.0,0.0,25.0,100.0,56.0,30.0,211.0,C,52.75,0,34.30621906690778,0.5,4.0,0,0,0,False
std-536,,group C,associate's degree,0.0,1.0,14.0,90.0,98.0,85.0,287.0,B,71.75,0,38.87051153080786,0.5,4.0,0,1,1,False
std-537,male,group C,bachelor's degree,1.0,0.0,25.0,45.0,83.0,55.0,208.0,C,52.0,0,24.138489320308896,0.5,5.0,0,0,1,False
std-538,male,group C,some high school,1.0,1.0,47.0,48.0,78.0,89.0,262.0,B,65.5,0,21.268129521265696,1.0,1.0,0,1,1,False
std-539,male,group C,some high school,1.0,0.0,96.0,91.0,66.0,86.0,339.0,A,84.75,0,13.149778198382917,0.5,1.0,0,1,1,False
std-540,male,group C,bachelor's degree,0.0,0.0,31.0,57.0,73.0,82.0,243.0,C,60.75,0,22.36626924634504,0.0,5.0,0,0,1,False
std-541,male,group E,associate's degree,0.0,0.0,50.0,34.0,39.0,80.0,203.0,C,50.75,0,20.61350689879494,0.0,4.0,0,0,1,False
std-542,male,group D,high school,0.0,0.0,40.0,82.0,25.0,82.0,229.0,C,57.25,0,29.227555491350966,0.0,2.0,0,0,1,False
std-543,male,group C,master's degree,0.0,1.0,54.0,86.0,79.0,73.0,292.0,B,73.0,0,13.73559851869101,0.5,6.0,0,1,0,False
std-544,male,group C,master's degree,1.0,0.0,30.0,35.0,40.0,22.0,127.0,Fail,31.75,1,7.675719293112969,0.5,6.0,0,0,0,True
std-545,male,group E,some college,1.0,1.0,40.0,82.0,84.0,72.0,278.0,B,69.5,0,20.355179521029367,1.0,3.0,0,1,1,False
std-546,male,group B,bachelor's degree,0.0,0.0,39.0,86.0,63.0,72.0,260.0,B,65.0,0,19.748417658131498,0.0,5.0,0,1,1,False
std-547,male,group D,high school,1.0,1.0,49.0,60.0,79.0,83.0,271.0,B,67.75,0,16.028620235898867,1.0,2.0,0,1,1,False
std-548,male,group C,some college,1.0,1.0,89.0,51.0,84.0,45.0,269.0,B,67.25,0,22.45551157288562,1.0,3.0,0,1,0,False
std-549,male,group B,master's degree,1.0,0.0,27.0,69.0,80.0,27.0,203.0,C,50.75,0,27.789386463180506,0.5,6.0,0,0,0,False
std-550,male,group C,some high school,0.0,1.0,27.0,73.0,69.0,64.0,233.0,C,58.25,0,21.156165374030646,0.5,1.0,0,0,1,False
std-551,male,group D,associate's degree,0.0,0.0,42.0,93.0,55.0,100.0,290.0,B,72.5,0,28.36077102854105,0.0,4.0,0,1,1,False
std-552,male,group B,some college,0.0,0.0,36.0,73.0,72.0,100.0,281.0,B,70.25,0,26.25991876098122,0.0,3.0,0,1,1,False
std-553,male,group C,high school,1.0,0.0,53.0,53.0,23.0,51.0,180.0,D,45.0,1,14.696938456699069,0.5,2.0,0,0,1,False
std-554,male,group B,some high school,0.0,1.0,100.0,45.0,66.0,82.0,293.0,B,73.25,0,23.400498570187203,0.5,1.0,0,1,1,False
std-555,male,group C,some college,0.0,0.0,43.0,72.0,100.0,38.0,253.0,B,63.25,0,28.721362548922826,0.0,3.0,0,1,0,False
std-556,male,group A,high school,1.0,0.0,72.0,40.0,83.0,92.0,287.0,B,71.75,0,22.691775308835282,0.5,2.0,0,1,1,False
std-557,male,group E,bachelor's degree,1.0,0.0,43.0,100.0,82.0,72.0,297.0,B,74.25,0,23.837994882120434,0.5,5.0,0,1,0,False
std-558,male,group D,some high school,0.0,0.0,68.0,83.0,92.0,66.0,309.0,B,77.25,0,12.419742348374221,0.0,1.0,0,1,0,False
std-559,male,group E,master's degree,0.0,0.0,52.0,27.0,80.0,49.0,208.0,C,52.0,0,21.740898478827106,0.0,6.0,0,0,0,False
std-560,male,group D,bachelor's degree,0.0,1.0,100.0,91.0,72.0,55.0,318.0,B,79.5,0,20.074859899884732,0.5,5.0,0,1,0,False
std-561,male,group C,master's degree,1.0,0.0,62.0,53.0,68.0,55.0,238.0,C,59.5,0,6.855654600401044,0.5,6.0,0,0,0,False
std-562,male,group C,some college,1.0,0.0,34.0,51.0,47.0,42.0,174.0,D,43.5,1,7.32575365861197,0.5,3.0,0,0,0,False
std-563,male,group E,associate's degree,1.0,0.0,62.0,83.0,56.0,31.0,232.0,C,58.0,0,21.400934559032695,0.5,4.0,0,0,0,False
std-564,male,group D,some college,1.0,1.0,31.0,51.0,68.0,54.0,204.0,C,51.0,0,15.253414918196734,1.0,3.0,0,0,1,False
std-565,male,group C,some college,1.0,0.0,55.0,72.0,96.0,75.0,298.0,B,74.5,0,16.822603841260722,0.5,3.0,0,1,1,False
std-566,male,group D,some college,0.0,0.0,83.0,94.0,100.0,86.0,363.0,A,90.75,0,7.7190241179396075,0.0,3.0,0,1,0,False
std-567,male,group A,some high school,0.0,0.0,25.0,56.0,81.0,71.0,233.0,C,58.25,0,24.43187808308372,0.0,1.0,0,0,1,False
std-568,male,group B,master's degree,1.0,0.0,22.0,100.0,41.0,48.0,211.0,C,52.75,0,33.360405672993046,0.5,6.0,0,0,0,False
std-569,male,group B,bachelor's degree,1.0,1.0,49.0,67.0,60.0,9.0,185.0,D,46.25,1,25.914924914676742,1.0,5.0,0,0,0,True
std-570,male,group D,some college,1.0,0.0,97.0,55.0,71.0,87.0,310.0,B,77.5,0,18.430047929038782,0.5,3.0,0,1,1,False
std-571,male,group D,high school,1.0,0.0,70.0,63.0,100.0,48.0,281.0,B,70.25,0,21.85368008673444,0.5,2.0,0,1,0,False
std-572,male,group C,bachelor's degree,1.0,0.0,25.0,22.0,66.0,70.0,183.0,D,45.75,1,25.773047937719745,0.5,5.0,0,0,1,False
std-573,male,group D,master's degree,0.0,0.0,78.0,42.0,91.0,100.0,311.0,B,77.75,0,25.486924752377117,0.0,6.0,0,1,1,False
std-574,male,group B,some high school,1.0,1.0,58.0,95.0,100.0,88.0,341.0,A,85.25,0,18.82153022471871,1.0,1.0,0,1,1,False
std-575,male,group D,some college,0.0,1.0,0.0,48.0,86.0,82.0,216.0,C,54.0,0,39.83298465677242,0.5,3.0,0,0,1,False
std-576,male,group B,some college,1.0,1.0,51.0,58.0,76.0,81.0,266.0,B,66.5,0,14.294521094927712,1.0,3.0,0,1,1,False
std-577,male,group E,some high school,1.0,1.0,45.0,100.0,87.0,59.0,291.0,B,72.75,0,25.1975527912269,1.0,1.0,0,1,0,False
std-578,male,group C,associate's degree,0.0,1.0,23.0,97.0,49.0,44.0,213.0,C,53.25,0,31.266329067118406,0.5,4.0,0,0,0,False
std-579,male,group B,high school,0.0,0.0,100.0,31.0,74.0,74.0,279.0,B,69.75,0,28.59341416014068,0.0,2.0,0,1,1,False
std-580,male,group C,high school,1.0,0.0,40.0,61.0,65.0,67.0,233.0,C,58.25,0,12.419742348374221,0.5,2.0,0,0,1,False
std-581,male,group E,bachelor's degree,1.0,0.0,30.0,62.0,89.0,42.0,223.0,C,55.75,0,25.798901785411978,0.5,5.0,0,0,0,False
std-582,male,group B,some college,1.0,1.0,30.0,73.0,61.0,51.0,215.0,C,53.75,0,18.20942979154848,1.0,3.0,0,0,0,False
std-583,male,group C,high school,1.0,0.0,53.0,68.0,52.0,69.0,242.0,C,60.5,0,9.255628917943215,0.5,2.0,0,0,1,False
std-584,male,group B,bachelor's degree,0.0,1.0,66.0,86.0,88.0,45.0,285.0,B,71.25,0,20.12254125767088,0.5,5.0,0,1,0,False
std-585,male,group C,master's degree,1.0,1.0,56.0,57.0,56.0,46.0,215.0,C,53.75,0,5.188127472091127,1.0,6.0,0,0,0,False
std-586,male,group E,some high school,1.0,0.0,33.0,78.0,85.0,96.0,292.0,B,73.0,0,27.676705006196094,0.5,1.0,0,1,1,False
std-587,male,group D,associate's degree,0.0,0.0,11.0,79.0,54.0,52.0,196.0,D,49.0,1,28.1543365517049,0.0,4.0,0,0,1,False
std-588,male,group B,associate's degree,1.0,0.0,70.0,92.0,77.0,48.0,287.0,B,71.75,0,18.300728582946274,0.5,4.0,0,1,0,False
std-589,male,group B,some college,0.0,1.0,18.0,42.0,70.0,39.0,169.0,D,42.25,1,21.360009363293827,0.5,3.0,0,0,0,False
std-590,male,group C,high school,1.0,0.0,67.0,100.0,85.0,99.0,351.0,A,87.75,0,15.435349040433131,0.5,2.0,0,1,1,False
std-591,male,group C,high school,1.0,1.0,18.0,70.0,44.0,65.0,197.0,D,49.25,1,23.683679331275084,1.0,2.0,0,0,1,False
std-592,male,group C,high school,0.0,1.0,72.0,97.0,92.0,52.0,313.0,B,78.25,0,20.56493779875511,0.5,2.0,0,1,0,False
std-593,male,group C,bachelor's degree,1.0,0.0,68.0,48.0,69.0,86.0,271.0,B,67.75,0,15.542951242712348,0.5,5.0,0,1,1,False
std-594,male,group B,bachelor's degree,1.0,0.0,72.0,58.0,100.0,88.0,318.0,B,79.5,0,18.35755975068582,0.5,5.0,0,1,1,False
std-595,male,group C,master's degree,1.0,0.0,93.0,89.0,77.0,36.0,295.0,B,73.75,0,26.068819177963036,0.5,6.0,0,1,0,False
std-596,male,group B,some college,1.0,1.0,47.0,72.0,100.0,58.0,277.0,B,69.25,0,22.911059920192837,1.0,3.0,0,1,0,False
std-597,male,group B,high school,1.0,1.0,39.0,35.0,44.0,96.0,214.0,C,53.5,0,28.571547618799606,1.0,2.0,0,0,1,False
std-598,male,group D,some high school,1.0,1.0,33.0,93.0,80.0,74.0,280.0,B,70.0,0,25.9101009904117,1.0,1.0,0,1,1,False
std-599,male,group B,some college,1.0,0.0,50.0,97.0,78.0,79.0,304.0,B,76.0,0,19.407902170679517,0.5,3.0,0,1,1,False
std-600,male,group D,associate's degree,1.0,0.0,32.0,82.0,61.0,69.0,244.0,C,61.0,0,21.18175315375634,0.5,4.0,0,0,1,False
std-601,male,group C,associate's degree,0.0,0.0,70.0,87.0,85.0,42.0,284.0,B,71.0,0,20.768565991260285,0.0,4.0,0,1,0,False
std-602,male,group E,associate's degree,0.0,0.0,33.0,87.0,54.0,14.0,188.0,D,47.0,1,31.272991542223778,0.0,4.0,0,0,0,False
std-603,male,group D,associate's degree,0.0,1.0,29.0,77.0,81.0,76.0,263.0,B,65.75,0,24.595053703268604,0.5,4.0,0,1,1,False
std-604,male,group B,some high school,0.0,0.0,61.0,81.0,33.0,80.0,255.0,B,63.75,0,22.47035083541569,0.0,1.0,0,1,1,False
std-605,male,group B,master's degree,1.0,1.0,50.0,17.0,34.0,60.0,161.0,D,40.25,1,18.83923211457056,1.0,6.0,0,0,1,False
std-606,male,group B,high school,1.0,0.0,36.0,79.0,66.0,59.0,240.0,C,60.0,0,18.01850900231944,0.5,2.0,0,0,0,False
std-607,male,group E,bachelor's degree,0.0,0.0,70.0,37.0,76.0,42.0,225.0,C,56.25,0,19.60229578391266,0.0,5.0,0,0,0,False
